Report,sentiment_category
3-mitigate-bias-train-model2-registry-e2e.ipynb failed CI,Negative
4-deploy-run-inference-e2e.ipynb failed CI,Negative
5-pipeline-e2e.ipynb failed CI,Negative
2-lineage-train-assess-bias-tune-registry-e2e.ipynb failed CI,Negative
mxnet_mnist_with_gluon_local_mode.ipynb failed CI,Negative
mxnet_mnist_with_gluon.ipynb failed CI,Negative
chainer_mnist_local_mode.ipynb failed CI,Negative
pytorch_rnn.ipynb failed CI,Negative
mxnet_mnist_horovod.ipynb failed CI,Negative
chainer_sentiment_analysis.ipynb failed CI,Negative
pytorch-gcn-tox21-hypertune.ipynb failed CI,Negative
pytorch-gcn-tox21.ipynb failed CI,Negative
tensorflow_script_mode_using_shell_commands.ipynb failed CI,Negative
tensorflow_moving_from_framework_mode_to_script_mode.ipynb failed CI,Negative
tensorboard_keras.ipynb failed CI,Negative
pytorch_mnist_elastic_inference.ipynb failed CI,Negative
pytorch_mnist.ipynb failed CI,Negative
tensorflow_script_mode_horovod.ipynb failed CI,Negative
tensorflow_keras_CIFAR10.ipynb failed CI,Negative
0_cust_churn_overview_dw.ipynb failed CI,Negative
1_cust_churn_dataprep.ipynb failed CI,Negative
2-metastases-detection-lineage-registry.ipynb failed CI,Negative
4-metastases-detection-pipeline.ipynb failed CI,Negative
3-metastases-detection-deploy-predict.ipynb failed CI,Negative
1-metastases-detection-train-model.ipynb failed CI,Negative
export_dw_job.ipynb failed CI,Negative
full_pipeline_property_file.ipynb failed CI,Negative
3_retail_recommend_pipeline.ipynb failed CI,Negative
2_retail_recommend_train_tune.ipynb failed CI,Negative
dw_job.ipynb failed CI,Negative
3_train_tune_predict_predmaint.ipynb failed CI,Negative
SageMaker-Seq2Seq-Translation-English-German.ipynb failed CI,Negative
blazingtext_word2vec_subwords_text8.ipynb failed CI,Negative
object2vec_movie_recommendation.ipynb failed CI,Negative
object_detection_birds.ipynb failed CI,Negative
rl_mountain_car_coach_gymEnv.ipynb failed CI,Negative
rl_cartpole_batch_coach.ipynb failed CI,Negative
rl_portfolio_management_coach_customEnv.ipynb failed CI,Negative
bandits_movielens_testbed.ipynb failed CI,Negative
rl_stock_trading_coach_customEnv.ipynb failed CI,Negative
train-hvac.ipynb failed CI,Negative
rl_cartpole_coach_gymEnv.ipynb failed CI,Negative
rl_roboschool_ray_distributed.ipynb failed CI,Negative
rl_bin_packing_ray_custom.ipynb failed CI,Negative
bandits_statlog_vw_customEnv.ipynb failed CI,Negative
rl_network_compression_ray_custom.ipynb failed CI,Negative
tf-resnet-profiling-multi-gpu-multi-node-boto3.ipynb failed CI,Negative
callback_bottleneck.ipynb failed CI,Negative
tf-resnet-profiling-multi-gpu-multi-node.ipynb failed CI,Negative
sentiment-analysis-tf-distributed-training-bringyourownscript.ipynb failed CI,Negative
tf2-keras-default-container.ipynb failed CI,Negative
mxnet-realtime-analysis.ipynb failed CI,Negative
pt-resnet-profiling-single-gpu-single-node.ipynb failed CI,Negative
pt-resnet-profiling-multi-gpu-single-node.ipynb failed CI,Negative
pt-resnet-profiling-multi-gpu-multi-node.ipynb failed CI,Negative
ground_truth_create_streaming_labeling_job.ipynb failed CI,Negative
Identify Worker Accuracy.ipynb failed CI,Negative
ground_truth_annotation_dense_point_cloud_tutorial.ipynb failed CI,Negative
GT_semantic_segmentation_to_COCO.ipynb failed CI,Negative
from_unlabeled_data_to_deployed_machine_learning_model_ground_truth_demo_image_classification.ipynb failed CI,Negative
pretrained_model_labeling_tutorial.ipynb failed CI,Negative
data_analysis_of_ground_truth_image_classification_output.ipynb failed CI,Negative
3D-point-cloud-input-data-processing.ipynb failed CI,Negative
bring_your_own_model_for_sagemaker_labeling_workflows_with_active_learning.ipynb failed CI,Negative
tensorflow_distributed_mnist_neo.ipynb failed CI,Negative
tensorflow_distributed_mnist_neo_inf1.ipynb failed CI,Negative
pytorch-vgg19-bn.ipynb failed CI,Negative
Batch Transform - breast cancer prediction with lowel level SDK.ipynb failed CI,Negative
batch_transform_pca_dbscan_movie_clusters.ipynb failed CI,Negative
tensorflow-serving-cifar10-python-sdk.ipynb failed CI,Negative
pytorch-mnist-batch-transform.ipynb failed CI,Negative
working-with-tfrecords.ipynb failed CI,Negative
autogluon_tabular_marketplace.ipynb failed CI,Negative
recommender_system_with_implicit_bpr.ipynb failed CI,Negative
Using_Algorithm_Arn_From_AWS_Marketplace.ipynb failed CI,Negative
AutoML_-_Train_multiple_models_in_parallel.ipynb failed CI,Negative
title_of_your_product-Model.ipynb failed CI,Negative
title_of_your_product-Algorithm.ipynb failed CI,Negative
A_generic_sample_notebook_to_perform_inference_on_ML_model_packages_from_AWS_Marketplace.ipynb failed CI,Negative
Image-classification-lst-format-highlevel.ipynb failed CI,Negative
Image-classification-lst-format.ipynb failed CI,Negative
Image-classification-transfer-learning.ipynb failed CI,Negative
Image-classification-fulltraining-highlevel.ipynb failed CI,Negative
xgboost_customer_churn_neo_studio.ipynb failed CI,Negative
tensorflow2_smdataparallel_maskrcnn_demo.ipynb failed CI,Negative
tensorflow2_smdataparallel_bert_demo.ipynb failed CI,Negative
infer_pytorch.ipynb failed CI,Negative
pytorch_smdataparallel_maskrcnn_demo.ipynb failed CI,Negative
pytorch_smdataparallel_bert_demo.ipynb failed CI,Negative
video-game-sales-xgboost.ipynb failed CI,Negative
sagemaker-countycensusclustering.ipynb failed CI,Negative
[Bug Report] Bug in the Cloud Formation Configuration File for Distributed Tensorflow Mask RCNN,Neutral
[Bug Report] SM Data Parallel with large models - bash command to execute the docker container build script does not work,Neutral
[Debugger] tensorflow_nlp_sentiment_analysis training job runs much longer than expected,Neutral
Batch Transform Issue,Neutral
 hvd.size() gave 1 even if I use mutiple GPUs instance,Neutral
Distributed training error using MXNet Gluon examples,Negative
SageMaker Featurestore example notebook has a hard dependeny to run in us-east-2,Negative
R example use old version of Sagemaker SDK,Neutral
Error in library(mda) : there is no package called 'mda' in the r_bring_your_own example,Negative
Notebooks are failing to download mnist data from deeplearning.net,Negative
Failed to publish an endpoint with custom sklearn model ,Negative
pytorch_torchvision_neo_studio.ipynb: ImportError: cannot import name 'NEO_IMAGE_ACCOUNT' from 'sagemaker.model' ,Neutral
Not all parameters of XGboost on sagemaker are supported/Not working! ,Neutral
RealTimePredictor reference in sample notebooks,Neutral
Issue in the directory structure for Running your container during training.,Neutral
"Error for Training job sagemaker-scikit-learn-2020-10-15-19-50-56-061: Failed. Reason: AlgorithmError: ExecuteUserScriptError: Command ""/miniconda3/bin/python -m train""",Negative
"predict_fn in ""Inference Pipeline with Scikit-learn and Linear Learner"" nb.insert",Neutral
managed_spot_training_object_detection.ipynd fatal error in loading data,Negative
Batch transform with custom container,Neutral
Can we create a training job endpoint in sagemaker,Positive
Plot training metrices using tensorboard or other mean for a training job (Tensorboard),Neutral
[tensowflow][mask_rcnn] mask-rcnn-experiment-trails.ipynb says it uses s3 but actually uses EFS,Neutral
Plotly Dash host/proxy issue in SageMaker,Neutral
example on how to read and parse a TextLine file using PipeModeDataset,Neutral
[marketplace][byoc] Bring_Your_Own-Creating_Algorithm_and_Model_Package.ipynb issues,Neutral
[SPARKML] sparkml_serving_emr_mleap_abalone.ipynb issues,Neutral
[MXNET] mxnet_mnist.ipynb issues,Neutral
hpo_pytorch_mnist.ipynb notebook throws an error when creating endpoint,Negative
tune_r_bring_your_own.ipyng notebook threw a permission error on the Publish step,Negative
Invalid bucket name used in hpo_image_classification_early_stopping.ipyng notebook,Neutral
r_in_sagemaker_processing/r_in_sagemaker_processing.ipynb issues,Neutral
r_byo_r_algo_hpo/tune_r_bring_your_own.ipynb issues,Neutral
object2vec_movie_recommendation.ipynb issues,Neutral
[Debugger] custom rule notebook example needs updates,Neutral
[Debugger] mxnet_spot_training/mxnet-spot-training-with-sagemakerdebugger.ipynb,Neutral
RL Deepracer Notebook FileNotFoundError,Neutral
Failed to install required packages,Negative
Notebook exceeds memory?; OS Error : Cannot allocate memory,Negative
What is the procedure to save the tensorflow model and load it for batch transform,Positive
Sagemaker Neo compilation failed for TF Lite object detection model,Negative
Broken validation; due to javascript error ,Negative
object_detection_incremental_training.ipynb,Neutral
tensorflow_serving_container.ipynb,Neutral
script-mode-container.ipynb,Neutral
ntm_synthetic.ipynb,Neutral
mxnet_mnist_elastic_inference_local.ipynb,Neutral
mxnet_mnist_elastic_inference.ipynb,Neutral
improving_industrial_workplace_safety_2020-08-21/improving_industrial_workplace_safety.ipynb,Neutral
"Pytorch MNIST sample claims to be multi-GPU example, but it's not",Neutral
Neo: tensorflow_distributed_mnist_neo_inf1_studio.ipynb and tensorflow_distributed_mnist_neo_inf1.ipynb,Neutral
Neo: Image-classification-fulltraining-highlevel-neo.ipynb and Image-classification-fulltraining-highlevel-neo-studio.ipynb issue,Neutral
why do we have to give target time series for nonperiodic time series prediction in DeepAR?,Neutral
Mapping data_location to train script for scikit_bring_your_own ,Neutral
PyTorch HPO example failing,Negative
The link to the original ENTRYPOINT in pytorch_extending_our_containers.ipynb doesn't work,Positive
New SageMaker Notebook for Building machine learning workflows with Amazon SageMaker Processing and AWS Step Functions Data Science SDK,Positive
Inference Pipeline with Scikit-learn and Linear Learner.ipynb issues,Neutral
deepar  dynamic feature definition  please ,Positive
Cannot run Mars.R in R-BYO Model ,Neutral
Where to get a synset.txt file after training Sagemaker Image Classfification,Neutral
Horovod PyTorch Multi-GPU Only Using 1 GPU (Multi-Node Too),Neutral
Sagemaker examples tab does not pull in example correctly,Neutral
"An error occurred (ModelError) when calling the InvokeEndpoint operation: Received server error (500) from model with message ""[Errno 2] No such file or directory: '/.sagemaker/mms/models/model/model.pth'"".",Negative
 No logs shown after training completion ,Negative
Training job not executing,Neutral
RandomForestRegressor - automatically parse features,Neutral
Reward and Regret calculation duplicated in bandits_recsys_movielens_testbed example ?,Positive
 Non multi-modal endpoint trigger not multi-modal endpoint error... ,Neutral
Calling SageMaker endpoint in android for image classification model,Neutral
Import error in advanced_functionality/autogluon-tabular/AutoGluon_Tabular_SageMaker.ipynb,Negative
How to access class labels and probabilities in Semantic Segmentation Inference,Neutral
DeepAR+ vs DeepAR,Neutral
model_fn and input_fn called multiple times,Neutral
[Please Help!] Issue with deploying a custom model pipeline,Neutral
XGBoostError: [14:10:53] src/learner.cc:963: Check failed: mparam_.num_feature != 0 (0 vs. 0) : 0 feature is supplied.  Are you using raw Booster interface?,Negative
creation of endpoint of the provided example fails with sagemaker_containers._errors.ImportModuleError,Negative
[mxnet_mnist_byom] How can I import mxnet model for inference only?,Neutral
Open svs file in s3,Neutral
Deepar Notebook - Different outputs for different runs despite setting the seed.,Neutral
default kernel needs to be set,Neutral
Invocation Error (ConnectionClosedError: Connection was closed before we received a valid response from endpoint URL: ,Negative
New version of Joblib not available,Neutral
unable to serve tensorflow object detection trained model,Neutral
Advanced example distributed tensorflow training exits with mpirun exit code 1 during evaluations,Positive
Sagemaker model timeout,Neutral
"Object detection: wrong class id and class name mappings in ""categories"" list in an image annotation file",Negative
scikit_bring_your_own fails to scale,Negative
Batch Transformation example for xgboost_customer_churn,Neutral
error occured when calling InvokeEndpoint operation,Negative
Gluon Recommend System: invalid link to talk,Positive
set the kernel to conda_tensorflow_p36 or another appropriate one for the notebook from_unlabeled_data_to_deployed_machine_learning_model_ground_truth_demo_image_classification.pynb,Neutral
SageMaker script mode inference model init needed,Neutral
What is the requirements of the entry_point needed by the mxnet if I want to inference only,Neutral
help needed for xgboost bring-your-own with distributed training ,Positive
Registering a PyTorchModel to SageMaker console without deploying,Neutral
tensorflow_script_mode_horovod - CloudFormation template is not working,Neutral
DeepAR - incremental learning,Neutral
Sagemaker Neo,Neutral
[Example Request] PyTorch Pipe Mode,Neutral
Tensorboard within SageMaker,Neutral
newbie SageMaker with XGBoost ,Neutral
[Question] EIA architecture,Neutral
scikit_learn_iris.py script embedded in notebook does not import tree,Neutral
How to specify the number of epoch using custom estimator.Tensorflow object?,Neutral
Fit a Keras or Tensorflow Estimator on spark dataframe in pyspark using sagemaker,Positive
export symbol and parameters file for MXNet models trained using Sagemaker,Neutral
Number of features of the model must match the input. Model n_features is 4 and input n_features is 3,Neutral
Sagemaker LDA topic model - how to access the params of the trained model? Also is there a simple way to capture coherence,Neutral
I am happy,Positive
I am sad,Negative
I am furiously Happy,Positive
I am furiously happy,Positive
He he he,Positive
